"","playerName","restrictedDuo"
"339","John Patton [US]","Calyrex [Ice Rider] Kyogre"
"340","Joseph Cartin [US]","Lunala Miraidon"
"341","Shiliang Tang [CN]","Calyrex [Ice Rider] Kyogre"
"342","John Wood [US]","Calyrex [Shadow Rider] Terapagos"
"343","Phillip Wingett [US]","Mewtwo Terapagos"
"344","Kusha Kanani [DE]","Calyrex [Ice Rider] Miraidon"
"345","Miller McLemore [US]","Kyogre Zacian"
"346","Majd Serhan [US]","Kyurem [White Kyurem] Lunala"
"347","Zachary Mnich [US]","Calyrex [Shadow Rider] Koraidon"
"348","Danish Ali [US]","Miraidon Zamazenta"
"349","Aaron Traylor [US]","Calyrex [Shadow Rider] Zamazenta"
"350","George Jeno [US]","Calyrex [Ice Rider] Miraidon"
"351","Andrew Zehrer [US]","Calyrex [Ice Rider] Miraidon"
"352","Austin Le [US]","Kyogre Zamazenta"
"353","Wyatt Fout [US]","Calyrex [Shadow Rider] Zamazenta"
"354","Josh Croft [US]","Calyrex [Ice Rider] Kyogre"
"355","Aldo Loyola [MX]","Kyogre Zamazenta"
"356","Juan Lucin [EC]","Kyogre Zacian"
"357","Yuki Kono [AU]","Calyrex [Shadow Rider] Zamazenta"
"358","Jay Ray [US]","Calyrex [Ice Rider] Miraidon"
"359","Noah Stransky [US]","Koraidon Lunala"
"360","Will Tavares [CA]","Calyrex [Ice Rider] Kyogre"
"361","Arnie Wolf [US]","Calyrex [Shadow Rider] Zamazenta"
"362","Darius Helmick [US]","Calyrex [Ice Rider] Miraidon"
"363","Aaron Riker [US]","Miraidon Zamazenta"
"364","YOICHIRO KUROGI [JP]","Calyrex [Ice Rider] Miraidon"
"365","Nate Loveday [US]","Calyrex [Ice Rider] Kyogre"
"366","William Holtsbaum [CA]","Koraidon Terapagos"
"367","Max Morales [CR]","Calyrex [Shadow Rider] Zamazenta"
"368","Max Gelman [US]","Calyrex [Ice Rider] Kyogre"
"369","Brandon Kinslow [US]","Miraidon Zacian"
"370","Stephen Ramirtha [US]","Ho-Oh Miraidon"
"371","Adam Colson [US]","Calyrex [Ice Rider] Miraidon"
"372","Yichun Wu [CN]","Calyrex [Ice Rider] Kyogre"
"373","Jesse Trevino [US]","Calyrex [Shadow Rider] Koraidon"
"374","Grayson Decker [US]","Groudon Miraidon"
"375","Liam Westland [UK]","Calyrex [Ice Rider] Kyogre"
"376","Eric Bush [US]","Calyrex [Ice Rider] Miraidon"
"377","Patrick Dillon [US]","Calyrex [Shadow Rider] Terapagos"
"378","Luke Kroll [US]","Ho-Oh Miraidon"
"379","Joao Victor Basilato Dos Santos [US]","Calyrex [Shadow Rider] Koraidon"
"380","Ainsley Villafana [US]","Lunala Miraidon"
"381","Patrick Spitzer [US]","Ho-Oh Miraidon"
"382","Jahmal Daniels [US]","Koraidon Lunala"
"383","Christopher Holloway [US]","Miraidon Zamazenta"
"384","Liam McDonald [US]","Calyrex [Ice Rider] Miraidon"
"385","Miguel Garcia [US]","Calyrex [Shadow Rider] Koraidon"
"386","Jacob Toray [US]","Kyogre Zamazenta"
"387","Vardaan Bhat [US]","Ho-Oh Lunala"
"388","Justin Morris [US]","Kyogre Zamazenta"
"389","Michael Leonardis [US]","Calyrex [Shadow Rider] Zamazenta"
"390","Peter Espy [US]","Calyrex [Shadow Rider] Terapagos"
"391","Griffin Simon [US]","Calyrex [Ice Rider] Miraidon"
"392","Ryan Gordon [US]","Calyrex [Shadow Rider] Zamazenta"
"393","Trista Medine [US]","Kyogre Zacian"
"394","Jacob Mortenson [US]","Calyrex [Ice Rider] Kyogre"
"395","Lindsey Henderson-Zintz [US]","Calyrex [Ice Rider] Koraidon"
